dt,Country,AverageTemperature
1900,Afghanistan,13.749333333333334
1900,Africa,23.991500000000002
1900,Albania,13.068583333333335
1900,Algeria,22.864166666666666
1900,American Samoa,26.2735
1900,Andorra,11.348333333333334
1900,Angola,21.789916666666667
1900,Anguilla,26.406750000000002
1900,Antigua And Barbuda,26.229916666666668
1900,Argentina,14.807250000000002
1900,Armenia,8.24375
1900,Aruba,28.027916666666666
1900,Asia,7.141000000000001
1900,Australia,21.766583333333333
1900,Austria,6.670249999999999
1900,Azerbaijan,10.5825
1900,Bahamas,25.05741666666667
1900,Bahrain,25.89925
1900,Baker Island,25.230500000000003
1900,Bangladesh,25.219083333333334
1900,Barbados,26.27916666666667
1900,Belarus,5.82
1900,Belgium,9.787333333333335
1900,Belize,24.548416666666668
1900,Benin,27.029750000000003
1900,Bhutan,12.016499999999999
1900,Bolivia,21.11325
1900,Bonaire-Saint Eustatius And Saba,27.224
1900,Bosnia and Herz.,10.90975
1900,Botswana,22.021416666666667
1900,Brazil,24.904833333333332
1900,British Virgin Islands,26.114166666666666
1900,Bulgaria,10.962833333333334
1900,Burkina Faso,27.98075
1900,Burma,24.00191666666667
1900,Burundi,20.08075
1900,Cambodia,26.631249999999998
1900,Cameroon,24.123333333333335
1900,Canada,-5.01875
1900,Cape Verde,24.051083333333334
1900,Cayman Islands,26.59175
1900,Central African Rep.,25.053833333333333
1900,Chad,26.84783333333333
1900,Chile,9.305
1900,China,6.444166666666667
1900,Christmas Island,25.608166666666666
1900,Colombia,24.873
1900,Comoros,25.852083333333336
1900,Congo,24.287833333333335
1900,Costa Rica,25.41625
1900,Croatia,11.826916666666667
1900,Cuba,25.343999999999998
1900,Curaçao,27.455250000000003
1900,Cyprus,19.02058333333333
1900,Czechia,7.9735000000000005
1900,Côte d'Ivoire,25.90025
1900,Dem. Rep. Congo,23.696166666666667
1900,Denmark,-17.767416666666666
1900,Denmark (Europe),7.744
1900,Djibouti,28.543833333333335
1900,Dominica,25.904833333333332
1900,Dominican Rep.,25.76008333333333
1900,Ecuador,21.906583333333334
1900,Egypt,22.797750000000004
1900,El Salvador,24.655333333333335
1900,Eq. Guinea,24.711000000000002
1900,Eritrea,26.431083333333333
1900,Estonia,4.23525
1900,Ethiopia,22.793666666666667
1900,Europe,7.797083333333333
1900,Falkland Is.,5.78175
1900,Faroe Islands,6.432416666666666
1900,Federated States Of Micronesia,
1900,Fiji,24.419583333333335
1900,Finland,0.000500000000000019
1900,France,12.987333333333334
1900,France (Europe),10.672583333333334
1900,French Guiana,25.6825
1900,French Polynesia,25.665166666666668
1900,Gabon,24.06233333333333
1900,Gambia,27.462666666666667
1900,Gaza Strip,19.440749999999998
1900,Georgia,7.865166666666667
1900,Germany,8.452083333333333
1900,Ghana,26.633333333333336
1900,Greece,15.107583333333332
1900,Greenland,-18.292333333333332
1900,Grenada,26.616249999999997
1900,Guadeloupe,26.121
1900,Guatemala,22.861333333333334
1900,Guernsey,11.083416666666666
1900,Guinea,25.38025
1900,Guinea-Bissau,26.68625
1900,Guyana,25.926666666666666
1900,Haiti,26.52116666666667
1900,Honduras,24.383583333333334
1900,Hong Kong,22.285083333333333
1900,Hungary,10.30625
1900,Iceland,1.3640833333333333
1900,India,24.367833333333333
1900,Indonesia,25.734583333333333
1900,Iran,17.121666666666666
1900,Iraq,21.705166666666667
1900,Ireland,9.327166666666667
1900,Isle Of Man,9.418333333333333
1900,Israel,19.860333333333333
1900,Italy,12.998
1900,Jamaica,26.199916666666667
1900,Japan,11.473666666666666
1900,Jersey,11.083416666666666
1900,Jordan,19.5585
1900,Kazakhstan,4.476500000000001
1900,Kenya,24.129833333333334
1900,Kingman Reef,26.999916666666667
1900,Kiribati,26.55841666666667
1900,Kuwait,25.096999999999998
1900,Kyrgyzstan,2.7620000000000005
1900,Laos,23.50916666666667
1900,Latvia,4.995500000000001
1900,Lebanon,17.877166666666668
1900,Lesotho,13.843333333333334
1900,Liberia,25.333083333333335
1900,Libya,22.170833333333334
1900,Liechtenstein,4.999833333333333
1900,Lithuania,5.847416666666665
1900,Luxembourg,9.486916666666668
1900,Macau,22.037916666666664
1900,Macedonia,10.878916666666667
1900,Madagascar,22.915583333333334
1900,Malawi,21.607333333333333
1900,Malaysia,25.785
1900,Mali,28.256
1900,Malta,18.487583333333333
1900,Martinique,25.904833333333332
1900,Mauritania,27.442916666666665
1900,Mauritius,23.464166666666667
1900,Mayotte,26.497249999999998
1900,Mexico,20.521583333333332
1900,Moldova,9.44825
1900,Monaco,9.265666666666666
1900,Mongolia,-1.1693333333333333
1900,Montenegro,10.71325
1900,Montserrat,26.173916666666667
1900,Morocco,17.567416666666666
1900,Mozambique,23.76425
1900,Namibia,20.608
1900,Nepal,15.02575
1900,Netherlands,9.727583333333333
1900,Netherlands (Europe),9.336333333333334
1900,New Caledonia,22.131666666666664
1900,New Zealand,9.970833333333333
1900,Nicaragua,25.71875
1900,Niger,27.216333333333335
1900,Nigeria,26.535416666666666
1900,Niue,24.77241666666667
1900,North America,2.3191666666666664
1900,North Korea,6.736249999999999
1900,Norway,-0.9300833333333337
1900,Oceania,21.57466666666667
1900,Oman,26.746750000000002
1900,Pakistan,20.754583333333333
1900,Palau,27.307
1900,Palestina,22.77525
1900,Palmyra Atoll,27.029083333333332
1900,Panama,26.240333333333336
1900,Papua New Guinea,24.536666666666665
1900,Paraguay,23.743
1900,Peru,20.013250000000003
1900,Philippines,26.251333333333335
1900,Poland,7.742416666666667
1900,Portugal,14.71175
1900,Puerto Rico,25.370083333333337
1900,Qatar,26.736833333333333
1900,Reunion,23.26516666666667
1900,Romania,9.380666666666666
1900,Russia,-5.8743333333333325
1900,Rwanda,19.235583333333334
1900,Saint Barthélemy,26.406750000000002
1900,Saint Kitts And Nevis,25.65225
1900,Saint Lucia,26.4755
1900,Saint Martin,26.406750000000002
1900,Saint Pierre And Miquelon,4.4255
1900,Saint Vincent And The Grenadines,26.637083333333337
1900,Samoa,25.97475
1900,San Marino,14.164833333333334
1900,Sao Tome And Principe,25.625833333333333
1900,Saudi Arabia,25.488916666666668
1900,Senegal,27.855833333333337
1900,Serbia,10.513083333333334
1900,Seychelles,26.601333333333333
1900,Sierra Leone,25.959166666666665
1900,Singapore,26.531583333333334
1900,Sint Maarten,26.406750000000002
1900,Slovakia,8.050416666666667
1900,Slovenia,10.140833333333333
1900,Solomon Is.,26.210583333333336
1900,Somalia,26.7085
1900,South Africa,17.386
1900,South America,21.974833333333333
1900,South Georgia And The South Sandwich Isla,1.217
1900,South Korea,11.592666666666666
1900,Spain,13.629416666666666
1900,Sri Lanka,27.24225
1900,Sudan,26.88808333333333
1900,Suriname,26.138416666666668
1900,Svalbard And Jan Mayen,-7.991416666666666
1900,Sweden,1.335416666666667
1900,Switzerland,7.3051666666666675
1900,Syria,18.093083333333336
1900,Taiwan,21.742583333333332
1900,Tajikistan,3.5467499999999994
1900,Tanzania,22.399416666666667
1900,Thailand,26.100250000000003
1900,Timor-Leste,26.282
1900,Togo,26.764333333333337
1900,Tonga,22.85875
1900,Trinidad and Tobago,26.0475
1900,Tunisia,19.840666666666667
1900,Turkey,11.91375
1900,Turkmenistan,13.924833333333334
1900,Turks And Caicas Islands,26.79491666666667
1900,Uganda,22.973916666666668
1900,Ukraine,7.819333333333334
1900,United Arab Emirates,27.58791666666667
1900,United Kingdom,8.550416666666667
1900,United Kingdom (Europe),8.72375
1900,United States of America,9.021583333333334
1900,Uruguay,17.7805
1900,Uzbekistan,11.415
1900,Venezuela,25.12325
1900,Vietnam,23.517666666666667
1900,Virgin Islands,26.114166666666666
1900,W. Sahara,22.26375
1900,Yemen,25.990583333333333
1900,Zambia,21.37408333333333
1900,Zimbabwe,21.275833333333335
1900,eSwatini,18.855333333333334
1900,Åland,4.547833333333333
1901,Afghanistan,13.894
1901,Africa,24.08141666666667
1901,Albania,12.449583333333335
1901,Algeria,22.726416666666665
1901,American Samoa,26.144750000000002
1901,Andorra,10.516333333333334
1901,Angola,21.751416666666668
1901,Anguilla,26.662833333333335
1901,Antigua And Barbuda,26.458333333333332
1901,Argentina,14.809333333333333
